Job Perf	Mech Apt	Consc						
Y	X	X1	XY	X1Y	X*X1	X*X	X1*X1	
1	40	25	40	25	1000	1600	625	
2	45	20	90	40	900	2025	400	
1	38	30	38	30	1140	1444	900	
3	50	30	150	90	1500	2500	900	
2	48	28	96	56	1344	2304	784	
3	55	30	165	90	1650	3025	900	
3	53	34	159	102	1802	2809	1156	
4	55	36	220	144	1980	3025	1296	
4	58	32	232	128	1856	3364	1024	
3	40	34	120	102	1360	1600	1156	
5	55	38	275	190	2090	3025	1444	
3	48	28	144	84	1344	2304	784	
3	45	30	135	90	1350	2025	900	
2	55	36	110	72	1980	3025	1296	
4	60	34	240	136	2040	3600	1156	
5	60	38	300	190	2280	3600	1444	
5	60	42	300	210	2520	3600	1764	
5	65	38	325	190	2470	4225	1444	
4	50	34	200	136	1700	2500	1156	
3	58	38	174	114	2204	3364	1444	
								
65	1038	655	3513	2219	34510	54964	21973	Total
